zip,count,rate_10k,date
97002,66,1173.8,2020-11-04
97003,332,1282.6,2020-11-04
97004,28,638.1,2020-11-04
97005,412,1654.2,2020-11-04
97006,524,831.3,2020-11-04
97007,472,705,2020-11-04
97008,269,928.6,2020-11-04
97009,99,1275.4,2020-11-04
97013,365,1608.8,2020-11-04
97014,-1,-1,2020-11-04
97015,287,1470.2,2020-11-04
97016,37,608.3,2020-11-04
97017,10,342.2,2020-11-04
97018,14,717.2,2020-11-04
97019,40,1265.4,2020-11-04
97021,-1,-1,2020-11-04
97022,35,940.4,2020-11-04
97023,74,752.6,2020-11-04
97024,302,2948.6,2020-11-04
97026,148,3879.4,2020-11-04
97027,79,651.2,2020-11-04
97030,727,1981.3,2020-11-04
97031,224,1219,2020-11-04
97032,129,2558,2020-11-04
97034,114,603,2020-11-04
97035,138,577.1,2020-11-04
97038,143,946.2,2020-11-04
97040,10,803.9,2020-11-04
97041,42,1490.9,2020-11-04
97042,25,855.3,2020-11-04
97045,450,876.2,2020-11-04
97048,57,851.9,2020-11-04
97049,-1,-1,2020-11-04
97051,89,557.7,2020-11-04
97053,10,308,2020-11-04
97054,-1,-1,2020-11-04
97055,118,680.1,2020-11-04
97056,59,513.2,2020-11-04
97058,328,1653.4,2020-11-04
97060,396,1865.6,2020-11-04
97062,399,1454.4,2020-11-04
97063,-1,-1,2020-11-04
97064,15,433,2020-11-04
97067,14,654.8,2020-11-04
97068,146,515.8,2020-11-04
97070,214,1021.1,2020-11-04
97071,1277,4433.6,2020-11-04
97078,335,1563.2,2020-11-04
97080,753,1841.6,2020-11-04
97086,350,1345.6,2020-11-04
97089,138,1151.3,2020-11-04
97101,32,843.4,2020-11-04
97103,84,498.3,2020-11-04
97106,38,835.2,2020-11-04
97107,-1,-1,2020-11-04
97110,-1,-1,2020-11-04
97111,27,855.5,2020-11-04
97112,-1,-1,2020-11-04
97113,404,2854.1,2020-11-04
97114,64,1344,2020-11-04
97115,39,942.3,2020-11-04
97116,437,1813,2020-11-04
97119,29,656.1,2020-11-04
97121,12,867.7,2020-11-04
97123,821,1843.4,2020-11-04
97124,510,1054.8,2020-11-04
97127,45,1203.2,2020-11-04
97128,535,1480.3,2020-11-04
97131,-1,-1,2020-11-04
97132,237,838.1,2020-11-04
97133,18,450,2020-11-04
97136,-1,-1,2020-11-04
97137,11,841.6,2020-11-04
97138,40,399.2,2020-11-04
97140,134,570.8,2020-11-04
97141,47,357.7,2020-11-04
97146,98,1659.6,2020-11-04
97148,23,675.3,2020-11-04
97201,108,697.5,2020-11-04
97202,228,588.2,2020-11-04
97203,449,1446.4,2020-11-04
97204,12,1158.3,2020-11-04
97205,35,455.3,2020-11-04
97206,428,899.2,2020-11-04
97209,202,1351.2,2020-11-04
97210,59,541.9,2020-11-04
97211,266,851.1,2020-11-04
97212,122,505.7,2020-11-04
97213,202,691.3,2020-11-04
97214,182,764.3,2020-11-04
97215,134,818.3,2020-11-04
97216,240,1539.1,2020-11-04
97217,276,877.9,2020-11-04
97218,254,1744.4,2020-11-04
97219,261,674.3,2020-11-04
97220,460,1614.3,2020-11-04
97221,70,601.9,2020-11-04
97222,319,912,2020-11-04
97223,383,820.1,2020-11-04
97224,267,857.9,2020-11-04
97225,187,773.5,2020-11-04
97227,47,1221.7,2020-11-04
97229,339,582.3,2020-11-04
97230,781,1964.7,2020-11-04
97231,24,560.7,2020-11-04
97232,78,679.9,2020-11-04
97233,1175,2984.7,2020-11-04
97236,1021,2770.5,2020-11-04
97239,120,848.1,2020-11-04
97266,536,1609.6,2020-11-04
97267,276,895,2020-11-04
97301,1089,2034.8,2020-11-04
97302,337,907.6,2020-11-04
97303,610,1577.7,2020-11-04
97304,376,1321.4,2020-11-04
97305,1082,2693.2,2020-11-04
97306,338,1235.4,2020-11-04
97317,429,1761.4,2020-11-04
97321,197,790.3,2020-11-04
97322,308,904.8,2020-11-04
97324,-1,-1,2020-11-04
97325,58,876.9,2020-11-04
97327,-1,-1,2020-11-04
97330,220,530.5,2020-11-04
97331,29,1204.3,2020-11-04
97333,101,472.5,2020-11-04
97338,86,429,2020-11-04
