zip,count,rate_10k,date
97002,75,1333.8,2020-11-11
97003,354,1367.6,2020-11-11
97004,31,706.5,2020-11-11
97005,437,1754.6,2020-11-11
97006,580,920.1,2020-11-11
97007,546,815.5,2020-11-11
97008,307,1059.8,2020-11-11
97009,110,1417.2,2020-11-11
97013,400,1763,2020-11-11
97014,10,776.4,2020-11-11
97015,340,1741.7,2020-11-11
97016,39,641.1,2020-11-11
97017,11,376.5,2020-11-11
97018,14,717.2,2020-11-11
97019,47,1486.9,2020-11-11
97021,-1,-1,2020-11-11
97022,37,994.1,2020-11-11
97023,89,905.2,2020-11-11
97024,325,3173.2,2020-11-11
97026,153,4010.5,2020-11-11
97027,90,741.9,2020-11-11
97030,812,2213,2020-11-11
97031,231,1257.1,2020-11-11
97032,135,2677,2020-11-11
97034,130,687.6,2020-11-11
97035,156,652.4,2020-11-11
97038,167,1105,2020-11-11
97040,10,803.9,2020-11-11
97041,47,1668.4,2020-11-11
97042,27,923.7,2020-11-11
97045,488,950.2,2020-11-11
97048,64,956.5,2020-11-11
97049,11,579.3,2020-11-11
97051,103,645.5,2020-11-11
97053,15,462,2020-11-11
97054,-1,-1,2020-11-11
97055,157,904.9,2020-11-11
97056,64,556.7,2020-11-11
97058,340,1713.9,2020-11-11
97060,430,2025.8,2020-11-11
97062,427,1556.5,2020-11-11
97063,-1,-1,2020-11-11
97064,16,461.9,2020-11-11
97067,15,701.6,2020-11-11
97068,172,607.7,2020-11-11
97070,244,1164.3,2020-11-11
97071,1358,4714.8,2020-11-11
97078,388,1810.5,2020-11-11
97080,826,2020.2,2020-11-11
97086,419,1610.9,2020-11-11
97089,159,1326.5,2020-11-11
97101,37,975.2,2020-11-11
97103,93,551.6,2020-11-11
97106,39,857.1,2020-11-11
97107,-1,-1,2020-11-11
97110,-1,-1,2020-11-11
97111,33,1045.6,2020-11-11
97112,-1,-1,2020-11-11
97113,444,3136.7,2020-11-11
97114,85,1785,2020-11-11
97115,41,990.6,2020-11-11
97116,483,2003.8,2020-11-11
97119,36,814.5,2020-11-11
97121,12,867.7,2020-11-11
97123,907,2036.5,2020-11-11
97124,558,1154.1,2020-11-11
97127,54,1443.9,2020-11-11
97128,595,1646.3,2020-11-11
